epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,25291.6,1.60584,1.33111,1.41606,0.41928,0.43958,0.39476,0.14965,2.29472,2.01417,2.04329,0.000283085,0.000283085,0.000283085
83,25810,1.61014,1.33187,1.43141,0.45086,0.42195,0.41421,0.15488,2.25432,2.04975,2.03508,0.000268938,0.000268938,0.000268938
84,26357.6,1.59894,1.31736,1.4252,0.47959,0.39849,0.40447,0.16077,2.25976,2.03031,2.03945,0.000254791,0.000254791,0.000254791
85,26895.4,1.58332,1.29672,1.40552,0.45619,0.43571,0.41347,0.15346,2.2844,2.01015,2.05232,0.000240644,0.000240644,0.000240644
86,27330.4,1.56055,1.30108,1.40594,0.45467,0.4066,0.38391,0.1462,2.30361,2.08975,2.05833,0.000226497,0.000226497,0.000226497
87,27676.9,1.55645,1.27978,1.39325,0.49646,0.38614,0.38783,0.14803,2.29456,2.04973,2.06055,0.000212349,0.000212349,0.000212349
88,1918.56,1.55126,1.25497,1.38418,0.42665,0.41436,0.39207,0.14987,2.28394,2.06797,2.06435,0.000198202,0.000198202,0.000198202
89,3380.19,1.57128,1.25501,1.39402,0.4204,0.43197,0.38433,0.14308,2.32149,2.077,2.07244,0.000184055,0.000184055,0.000184055
90,3687.76,1.5584,1.25534,1.39135,0.4709,0.39514,0.38357,0.13802,2.32778,2.04963,2.09061,0.000169908,0.000169908,0.000169908
91,3984.46,1.58259,1.23125,1.44572,0.41282,0.45109,0.39521,0.14407,2.28381,2.0586,2.0618,0.000155761,0.000155761,0.000155761
92,4282.05,1.5384,1.17937,1.4174,0.44846,0.45247,0.39985,0.15049,2.28816,2.08881,2.04803,0.000141614,0.000141614,0.000141614
93,4577.65,1.51015,1.1419,1.39996,0.54305,0.36259,0.39435,0.15176,2.29449,2.07174,2.05873,0.000127467,0.000127467,0.000127467
94,4874.5,1.49814,1.13457,1.40257,0.46068,0.40942,0.3931,0.15279,2.31061,2.07671,2.08284,0.00011332,0.00011332,0.00011332
95,5170.91,1.50939,1.1405,1.40964,0.43698,0.40166,0.38046,0.14539,2.34127,2.10533,2.09693,9.91726e-05,9.91726e-05,9.91726e-05
96,5467.58,1.47842,1.09328,1.38331,0.43774,0.42434,0.3878,0.15154,2.33156,2.09688,2.09234,8.50255e-05,8.50255e-05,8.50255e-05
97,5764.94,1.48429,1.08718,1.39067,0.45041,0.44356,0.39854,0.15412,2.34179,2.08737,2.10336,7.08784e-05,7.08784e-05,7.08784e-05
98,6061.79,1.48144,1.09464,1.38575,0.43937,0.40118,0.37321,0.14811,2.34455,2.12021,2.1112,5.67313e-05,5.67313e-05,5.67313e-05
99,6360.1,1.46772,1.07588,1.37532,0.43897,0.42177,0.37103,0.14289,2.33122,2.12795,2.1024,4.25842e-05,4.25842e-05,4.25842e-05
100,6656.93,1.46031,1.09859,1.38925,0.43958,0.45758,0.3848,0.14841,2.33338,2.09996,2.10724,2.84371e-05,2.84371e-05,2.84371e-05
